Slno,Scientific Name,Disease,Active Component,Focus,Plant Name
1,Abelmoschus manihot,"Chronic glomerulonephritis, diabetic nephropathy, osteoporosis, depression, dysmenorrhea, hepatitis, multiple myeloma, myocardial ischemia, hepatitis B virus (HBV) infection, obesity, cerebral ischemic injury, Crohn's disease, poststroke depression injury.",Flavonoids,Flower,Huang Shu Kui
2,Abelmoschus moschatus,"Insulin resistance, Diabetes",Musk ambrette,Seed,Musk Mallow
3,Abies alba,"Atherosclerosis, cancer, tumors.",Terpenoids,Resin,Silver Fir
4,Abies alba and Viscum album,leiomyosarcomas Cancer (Antiproliferative and anticarcinogenic effects),Viscotoxins,Leaf,Fir & Mistletoe
5,Abies koreana,"Alzheimer's disease, vascular dementia.",Polyphenols,Needles,Korean Fir
6,Abies nephrolepis,Cadinol colon adenocarcinoma (cancer),Cadinol,Resin,Manchurian Fir
7,Abrax,toxicity,Unknown,Unknown,Unknown
8,"Abri Herba, Abri Mollis Herba","Hepatitis, Mastitis",Flavonoids,Leaf & Stem,Wild Abrus
9,Abrus cantoniensis,"Abrine cytotoxicity, liver detoxification and prevention of liver diseases",Abrine,Leaf & Root,Chinese Jequirity
10,Abrus mollis,"Hepatitis, alcoholic liver disease, nonalcoholic fatty liver disease.",Flavonoids,Leaf & Stem,Soft Jequirity
11,Abrus precatorius,"Inflammation, abrin-induced cell death, leukemia, oxidative stress, tuberculosis, hepatotoxicity",Abrin,Seed,Rosary Pea
12,Agrimonia pilosa Ledeb,Cognitive dysfunction,Tannins,Whole plant,Agrimony
13,Allium tuberosum,Foodborne microbial infections,Allicin,Leaf & Bulb,Garlic Chives
14,Aloe vera,Chronic kidney disease (CKD),Aloin,Leaf,Aloe Vera
15,Anemarrhena asphodeloides,Allergic diseases,Sarsasapogenin,Rhizome,Zhi Mu
16,Aristolochia debilis,Cancer,Aristolochic acids,Root & Leaf,Dutchman's Pipe
17,Aspergillus sp.,Cytotoxic activity against prostate cancer,Mycotoxins,Spore,Fungus
18,Bombax buonopozense,Trypanosomiasis (Sleeping Sickness),Tannins,Bark,Red Silk Cotton Tree
19,Bordetella petrii,Infectious diseases,Endotoxins,Unknown,Bacteria
20,Bupleurum chinense,Gastritis and gastric ulcers (caused by Helicobacter pylori),Saikosaponins,Root,Thorowax
21,Cinnamomum cassia,Cinnamic acid,Inflammatory conditions,Cinnamic acid,Bark,Chinese Cinnamon
22,Caenorhabditis elegans,Intestinal infections,Unknown,Unknown,Unknown,Nematode
23,Camellia sinensis,Periodontitis,Catechins,Leaf,Tea Plant
24,Candida albicans,Sunburn edema,Ergosterol,Unknown,Fungus
25,Cannabinoid CB2,Glaucoma,Cannabinoids,Leaf & Flower,Cannabis
26,Cardiospermum helicacabum,HIV-1 and HIV-2 (antiviral activity),Saponins,Leaf & Stem,Balloon Vine
27,Cassia obtusifolia,"Ulcer diseases, gastritis and gastric ulcer, Helicobacter pylori infection",Anthraquinones,Seed,Sicklepod
28,Cassia senna,"Anemia, Obesity",Sennosides,Leaf,Senna
29,Chrysanthemum indicum Linn,Hyperuricemia,Flavonoids,Flower,Wild Chrysanthemum
30,Cinnamaldehyde,Colorectal carcinoma,Cinnamaldehyde,Bark,Cinnamon
31,Cinnamic acid,Diabetes,Cinnamic acid,Bark,Cinnamon
32,Cinnamomi cassiae (Cinnamon) and Rhodiola rosea,Diabetes mellitus/ hyperglycemia,Cinnamaldehyde & Salidroside,Bark & Root,Cinnamon & Rhodiola
33,Cinnamomum aromaticum,"Oral candidiasis, tumor",Cinnamaldehyde,Bark,Chinese Cassia
34,Cinnamomum cassia,"Alzheimer's disease, atherogenesis (related to inflammation and cell adhesion molecule inhibition), breast cancer, cancer (various types, including antitumor effects), Candida albicans, cold allodynia (pain), depression (inhibits NF-kappaB/NLRP3 inflammasome pathway), diabetes mellitus (evaluation of glycemic control), diarrhea, gout, hepatoma (liver cancer), hypouricemic, insulin sensitivity, Leishmania donovani infection, lymphoma, malignant cell transformation, melanoma (type of skin cancer), neuroinflammatory diseases, neuropathic pain, non-small cell lung cancer (NSCLC), rheumatoid arthritis, skin pigmentation disorders (hyperpigmentation), toxicity, treatment for HIV infections, osteoporotic bone defects, hyperuricemia (high uric acid levels), myelosuppression and oxidative stress (induced by cyclophosphamide), BCA hepatocellular carcinoma, HIV infection, type 2 diabetes (T2D), human tumor, ischemic heart disease (myocardial ischemia), obesity, microglia-neuroblastoma, acute liver injury, xanthine oxidase-related conditions (such as gout and hyperuricemia), cytotoxicity to human solid tumor cells, gastric inflammation (Helicobacter pylori infection), anti-inflammatory activity, antioxidant-related conditions (e.g., cardiovascular diseases, cancer, arthritis), primary dysmenorrhea, antibacterial, hepatic ischemia/reperfusion injury (liver injury due to blood flow restoration after ischemia), anti-diabetic effects (in Jiao-Tai-Wan formula), inflammatory diseases, cardiovascular diseases, impaired glucose tolerance (IGT), insufficient blood circulation, angiogenesis.",Cinnamaldehyde,Bark,Chinese Cinnamon
35,Cinnamomum loureirii,Cancer,Cinnamaldehyde,Bark,Saigon Cinnamon
36,Cinnamomum osmophloeum,Liver cancer,Cinnamaldehyde,Bark,Indigenous Cinnamon
37,Cinnamomum tamala-procyanidin,Diabetes,Procyanidin,Leaf,Indian Bay Leaf
38,Cinnamomum verum,Diabetes,Cinnamaldehyde,Bark,True Cinnamon
39,Cinnamomum zeylanicum,"Diabetes mellitus, hypoglycaemic activity, Neurological disorders (e.g., Parkinson's, Alzheimer's), Cardiovascular diseases, Impaired glucose tolerance",Cinnamaldehyde,Bark,Ceylon Cinnamon
40,Cinnamomum zeylanicum and Cinnamomum cassia (Cinnamon),Arteriosclerosis,Cinnamaldehyde,Bark,Cinnamon
41,Citrus reticulata,Ulcer diseases (Helicobacter pylori),Flavonoids,Peel,Mandarin Orange
42,Corilagin NF-kappaB,Osteoporosis,Corilagin,Leaf,Unknown
43,Curcuma longa,Toxoplasmosis,Curcumin,Rhizome,Turmeric
44,Cymbopogon citratus essential oils,Aspergillus niger infection,Citral,Leaf,Lemongrass
45,Daikenchuto (Traditional Kampo Medicine),Intestinal Fibrosis,Herbal Formula,Root & Stem,Daikenchuto
46,Daphne genkwa,Cancer (inhibition of COX-2 and iNOS),Flavonoids,Flower,Genkwa
47,Elephantorrhiza goetzei,Schistosomiasis,Saponins,Root,Elephant Root
48,Elettaria cardamomum (L.) Maton,Cardiovascular disease,Terpenes,Seed,Cardamom
49,Eugenia caryophyllata,Ulcer diseases,Eugenol,Flower bud,Clove
50,Eugenol,Cancer,Eugenol,Essential Oil,Clove Oil
51,Euphorbia helioscopia,Diabetes (insulin secretion activity),Flavonoids,Whole plant,Sun Spurge
52,Ficus sur,Tuberculosis,Tannins,Bark & Leaf,Broom Cluster Fig
53,Ginger (Zingiber officinale),Gastrointestinal motility,Gingerol,Rhizome,Ginger
54,Ginseng root,Gastrointestinal motility disorders,Ginsenosides,Root,Ginseng
55,Glycyrrhiza uralensis,Phenolic glycosides (isolated from Baoyuan decoction),Phenolic glycosides,Root,Chinese Licorice
56,Gymnema sylvestre,Diabetes,Gymnemic acids,Leaf,Gurmar
57,H. hemerocallidea,Type II diabetic post-prandial hyperglycemia,Phytochemicals,Root & Leaf,African Potato
58,Hippophae rhamnoides,Ulcer diseases (related to Helicobacter pylori infection),Flavonoids,Seed & Leaf,Sea Buckthorn
59,Hymenolepis diminuta,Schistosomiasis and other parasitic infections,Unknown,Unknown,Nematode
60,Indigofera arrecta,Respiratory diseases,Alkaloids,Leaf & Stem,Indigo Plant
61,Jujube,Diabetes,Flavonoids,Fruit,Chinese Date
62,L. alata triterpenes,Loa loa filariasis,Triterpenes,Bark & Leaf,Lophira alata
63,Lantana camara,Malaria,Essential Oils,Leaf & Flower,Wild Sage
64,Laurus nobilis L,Type II Diabetes,Essential Oils,Leaf,Bay Laurel
65,Lemon grass essential oils,Ectoparasite (Rhipicephalus microplus),Citral,Leaf,Lemongrass
66,Ligusticum chuanxiong,Gastric ulcer,Phthalides,Root,Szechuan Lovage
67,Lophira alata,Loa loa (filarial worm),Triterpenes,Bark & Leaf,Azobé
68,Magnolia obovata,Cancer (MMP-9 inhibition),Magnolol,Bark,Japanese Magnolia
69,Magnolia officinalis,Ulcer diseases,Magnolol,Bark,Houpu Magnolia
70,Momordica foetida,Malaria,Cucurbitacins,Leaf,Bitter Melon
71,Ocimum basilicum,Insect bites (Repellents against mosquito species),Essential Oils,Leaf & Flower,Sweet Basil
72,Origanum vulgare,"Salmonella Typhimurium, Salmonella Enteritidis, Escherichia coli, Staphylococcus aureus, Enterococcus faecalis",Carvacrol & Thymol,Leaf & Stem,Oregano
73,Ozoroa insignis,Schistosomiasis,Tannins,Bark & Leaf,Resin Bush
74,Paeonia lactiflora Pall,RA,Paeniflorin,Root,White Peony
75,Pelargonium graveolens EOs,Oral candidiasis,Geraniol,Leaf & Flower,Rose Geranium
76,Petersianthus macrocarpus,Filarial infection (Loa loa),Triterpenoids,Bark,Aloma Tree
77,Pimenta racemosa,Cancer (radiolabeled eugenol uptake in adenocarcinoma cell lines),Eugenol,Leaf,Bay Rum Tree
78,Piptadeniastrum africanum,Loa loa (Filarial worm infection),Tannins,Bark,Dahoma
79,Pogostemon heyneanus,Repellency against blackflies,Patchoulol,Leaf,Java Patchouli
80,Quercetin,"Diabetes mellitus (hypoglycemic effects, correlation with serum adiponectin levels)",Quercetin,Leaf & Fruit,Various Plants
81,Rhodiola rosea,Stress,Salidroside,Root,Rhodi
82,Rosa agrestis,CNS protective activity,Hyperoside,Whole Plant,Field Rose
83,Salvia officinalis L Essential Oils,Embryo Development Issues,Essential Oils,Leaf & Flower,Sage
84,Saussurea lappa,Gastric ulcer,Costunolide & Dehydrocostus Lactone,Root,Costus Root
85,Schisandra chinensis,Helicobacter pylori infection- leads to gastric ulcer,Schisandrins,Berry,Schisandra
86,Semen Ziziphus jujuba,"Anxiety, insomnia",Flavonoids,Seed,Red Date
87,Senna obtusifolia (Cassiae semen),"Weight management, Hepatoprotection, Hyperlipidemia, Diabetes",Anthraquinones,Seed,Sicklepod
88,Silver Fir Polyphenols,Psoriasis,Polyphenols,Bark,Silver Fir
89,Silybum marianum,Type 2 diabetes,Silymarin,Seed,Milk Thistle
90,Syzygium aromaticum (Clove),Cancer (adenocarcinoma),Eugenol,Bud,Clove
91,Terminalia sericea Burch. ex DC,Alzheimer's disease (AD),Tannins,Bark,Silver Terminalia
92,Thymus vulgaris,Antimicrobial activity,Thymol & Carvacrol,Leaf,Thyme
93,Valeriana officinalis,Insomnia,Valerenic Acid,Root,Valerian
94,Viburnum foetens,Insulin secretion,Triterpenoids,Bark,Himalayan Snowball
95,Z. piperitum Monoterpenoids,Insecticidal Activity,Monoterpenoids,Seed,Japanese Pepper
96,Zanthoxyli Fructus-AKT,Prostate cancer (and other cancers),AKT Modulators,Fruit,Prickly Ash
97,Zanthoxylum ailanthoides,"Antiproliferative and apoptosis-inducing (Leukemia), tumor promotion in mouse skin, neutrophil pro-inflammatory responses, antifungal, diabetic, hepatotoxicity, inflammation.",Alkaloids,Bark & Leaf,Japanese Pepper Tree
98,Zanthoxylum avicennae,Hepatocellular carcinoma,Alkaloids,Stem & Bark,Avicenna’s Prickly Ash
99,Zanthoxylum bungeanum,"Oxidative stress-related diseases (e.g., cardiovascular diseases, cancer, neurodegenerative disorders), psoriasis, type-1 diabetes, Alzheimer's disease.",Flavonoids & Alkaloids,Pericarp,Sichuan Pepper
100,Zanthoxylum chalybeum,Chronic Kidney Disease,Tannins,Bark,East African Sandpaper Tree
101,Zanthoxylum chiloperone-canthin-6-one,Chagas disease (Trypanosoma cruzi infection),Canthin-6-one,Bark & Root,Chiloperone
102,Zanthoxylum clava-herculis,"CB1 glaucoma, pain",Alkaloids,Bark,Hercules' Club
103,Zanthoxylum heitzii (syn. Fagara heitzii),Malaria,Quinoline Alkaloids,Bark,Heitzi's Prickly Ash
104,Zanthoxylum integrifoliolum-benzo[c]phenanthridines,Cytotoxicity against cancer cell lines (P-388 and HT-29),Benzo[c]phenanthridines,Bark & Root,Integrifoliate Prickly Ash
105,Zanthoxylum leprieurii Acridones Alkaloids,Cancer (specifically lung carcinoma and colorectal adenocarcinoma),Acridones,Bark & Root,Leprieur’s Prickly Ash
106,"Zanthoxylum limonella (Mullilam), Curcuma zedoaria (Zedoary)","Mosquito-borne diseases (e.g., malaria, dengue)",Limonene & Curcuminoids,Bark & Rhizome,Indian Pepper & White Turmeric
107,Zanthoxylum madagascariense,Colorectal adenocarcinoma,Alkaloids,Bark,Madagascar Prickly Ash
108,Zanthoxylum monophyllum-4-methoxy-N-methyl-2-quinolone,Infection caused by methicillin-resistant Staphylococcus aureus (MRSA),Quinoline Alkaloids,Bark,Monophyllum Prickly Ash
109,Zanthoxylum myriacanthum var. pubescens,Intestinal inflammation (induced by dextran sulfate sodium),Polyphenols,Leaf & Bark,Thai Pepper Tree
110,Zanthoxylum nitidum,"Cancer (breast and colorectal), Hepatitis B, Antifungal, Osteosarcoma (a type of bone cancer), Gastric Cancer",Quinoline Alkaloids,Bark & Root,Nitidum Prickly Ash
111,Zanthoxylum piperitum,"Methicillin-resistant Staphylococcus aureus (MRSA), osteoarthritis (OA), repellency to Stomoxys calcitrans (stable fly), Lung cancer, liver cancer, hyperpigmentation.",Flavonoids & Terpenes,Seed & Bark,Japanese Pepper
112,Zanthoxylum planispinum,Anti-inflammatory effects,Alkaloids,Bark,Planispinum Prickly Ash
113,Zanthoxylum rhetsa,Hymenolepis diminuta (cestoda) infections (deworming),Alkaloids,Bark & Root,Indian Prickly Ash
114,Zanthoxylum rhoifolium,"Gastrointestinal nematode infections (anthelmintic activity), toxicity",Alkaloids,Bark & Root,Brazilian Prickly Ash
115,Zanthoxylum schinifolium,"Diarrhea, human acute leukemia (Jurkat T cells), jaundice, pain/analgesia, vascular dysfunction, neuroinflammation and pain, Kaposi's sarcoma (anti-Kaposi's sarcoma herpes virus activity)",Alkaloids & Polyphenols,Bark & Root,Sichuan Pepper
116,Zanthoxylum simulans,"Anti-inflammatory activity (dimeric lignans), Lignans",Dimeric Lignans,Seed & Bark,Flatspine Prickly Ash
117,Zanthoxylum species,"Rheumatism, anti-tumor properties",Alkaloids,Bark,Prickly Ash Species
118,Zanthoxylum tingoassuiba,Glioblastoma treatment,Alkaloids,Bark & Root,Tingoassuiba Prickly Ash
119,Zanthoxylum tsihanimposa,Malaria,Alkaloids,Bark & Root,Madagascar Prickly Ash
120,Zanthoxylum wutaiense,Tuberculosis,Alkaloids,Bark,Wutai Pepper Tree
121,Zanthoxylum zanthoxyloides,Trypanosomiasis (sleeping sickness),Alkaloids,Bark & Root,West African Pepper Tree
122,Zingiber cassumunar,"Allergy, inflammation, melanoma (type of skin cancer), rheumatoid arthritis, human fibrosarcoma (cancer), Alzheimer's disease, musculoskeletal pain",Terpenoids & Phenylbutanoids,Rhizome,Plai Ginger
123,Zingiber officinale (Ginger),Osteoarthritis (Knee Osteoarthritis),Gingerol & Shogaol,Rhizome,Ginger
124,Zinnia elegans,"Lignification process, Tracheary-element differentiation inhibition",Flavonoids,Whole Plant,Zinnia
125,Ziziphus jujuba,"Seizures, cognitive impairment, antimicrobial activity, nutraceutical source, antiviral activity, cancer, diabetes, digestive disorders, insomnia, anxiety, neurodegenerative diseases",Flavonoids & Saponins,Seed,Chinese Date
126,Ziziphus mauritiana,"Ascites carcinoma, hepatotoxicity due to alcohol, insomnia, cancer",Triterpenoids,Seed & Bark,Indian Jujube
127,Ziziphus mucronata,Sickle Cell Anaemia,Flavonoids,Root & Bark,Buffalo Thorn
128,Ziziphus xylopyrus,"Sterility, cough, birth control",Alkaloids,Root & Bark,Indian Jujube
129,Zostera marina,"Atherosclerosis, diabetes, cholesterol management",Zosterin,Leaf,Seagrass
130,Zosteric acid,"Rice Blast, Bean Anthracnose",Zosteric Acid,Leaf,Seagrass